整体情况：
两个核：
time per syscall : 193536    , total time : 967680    , total cnt : 5         , syscall name : sys_mknod, mm : -12 pages
time per syscall : 29750     , total time : 238000    , total cnt : 8         , syscall name : sys_getcwd, mm : 0 pages
time per syscall : 8198      , total time : 974486560 , total cnt : 118859    , syscall name : sys_dup, mm : -52 pages
time per syscall : 12900     , total time : 48984800  , total cnt : 3797      , syscall name : sys_dup3, mm : -786 pages
time per syscall : 8537      , total time : 31214240  , total cnt : 3656      , syscall name : sys_fcntl, mm : -437 pages
time per syscall : 527       , total time : 877840    , total cnt : 1665      , syscall name : sys_ioctl, mm : -14 pages
time per syscall : 430151    , total time : 55489600  , total cnt : 129       , syscall name : sys_mkdirat, mm : -627 pages
time per syscall : 85795     , total time : 324564800 , total cnt : 3783      , syscall name : sys_unlinkat, mm : 31065 pages
time per syscall : 32160     , total time : 64320     , total cnt : 2         , syscall name : sys_statfs, mm : 0 pages
time per syscall : 3840      , total time : 3840      , total cnt : 1         , syscall name : sys_ftruncate, mm : 0 pages
time per syscall : 23743     , total time : 34356240  , total cnt : 1447      , syscall name : sys_faccessat, mm : -670 pages
time per syscall : 36080     , total time : 72160     , total cnt : 2         , syscall name : sys_chdir, mm : 0 pages
time per syscall : 178725    , total time : 1136874480, total cnt : 6361      , syscall name : sys_openat, mm : -21103 pages
time per syscall : 6685      , total time : 1099049920, total cnt : 164387    , syscall name : sys_close, mm : 546 pages
time per syscall : 23366     , total time : 39091360  , total cnt : 1673      , syscall name : sys_pipe2, mm : -2072 pages
time per syscall : 116950    , total time : 935600    , total cnt : 8         , syscall name : sys_getdents64, mm : 0 pages
time per syscall : 6226      , total time : 216368000 , total cnt : 34747     , syscall name : sys_lseek, mm : 27 pages
time per syscall : 613603    , total time : 2828701929360, total cnt : 4609982   , syscall name : sys_read, mm : -530694 pages
time per syscall : 334085    , total time : 1460096063200, total cnt : 4370428   , syscall name : sys_write, mm : -250867 pages
time per syscall : 32579     , total time : 412648800 , total cnt : 12666     , syscall name : sys_readv, mm : -162 pages
time per syscall : 104018    , total time : 2901596960, total cnt : 27895     , syscall name : sys_writev, mm : -12567 pages
time per syscall : 17955     , total time : 18422080  , total cnt : 1026      , syscall name : sys_pread64, mm : -1 pages
time per syscall : 74520     , total time : 305237600 , total cnt : 4096      , syscall name : sys_pwrite64, mm : -2045 pages
time per syscall : 851979000 , total time : 3407916000, total cnt : 4         , syscall name : sys_sendfile, mm : -85 pages
time per syscall : 33474     , total time : 23328674240, total cnt : 696906    , syscall name : sys_pselect6, mm : -8604 pages
time per syscall : 467       , total time : 646640    , total cnt : 1383      , syscall name : sys_ppoll, mm : -1 pages
time per syscall : 694       , total time : 15280     , total cnt : 22        , syscall name : sys_readlinkat, mm : 0 pages
time per syscall : 48076     , total time : 174854560 , total cnt : 3637      , syscall name : sys_fstatat, mm : -2855 pages
time per syscall : 11095     , total time : 16398480  , total cnt : 1478      , syscall name : sys_fstat, mm : -1 pages
time per syscall : 721       , total time : 56240     , total cnt : 78        , syscall name : sys_sync, mm : 0 pages
time per syscall : 412       , total time : 44960     , total cnt : 109       , syscall name : sys_fsync, mm : -1 pages
time per syscall : 44033     , total time : 836640    , total cnt : 19        , syscall name : sys_utimensat, mm : 0 pages
time per syscall : 0         , total time : 0         , total cnt : 15640     , syscall name : sys_exit, mm : 0 pages
time per syscall : 1335      , total time : 12192640  , total cnt : 9128      , syscall name : sys_exit_group, mm : -24 pages
time per syscall : 1413      , total time : 6273520   , total cnt : 4439      , syscall name : sys_set_tid_address, mm : -108 pages
time per syscall : 121692    , total time : 1527358640, total cnt : 12551     , syscall name : sys_futex, mm : -673 pages
time per syscall : 1053      , total time : 6320      , total cnt : 6         , syscall name : sys_set_robust_list, mm : -1 pages
time per syscall : 32400     , total time : 64800     , total cnt : 2         , syscall name : sys_get_robust_list, mm : 0 pages
time per syscall : 1417683019, total time : 180045743440, total cnt : 127       , syscall name : sys_nanosleep, mm : -17322 pages
time per syscall : 13940     , total time : 1547360   , total cnt : 111       , syscall name : sys_setitimer, mm : -16 pages
time per syscall : 5488      , total time : 20252720  , total cnt : 3690      , syscall name : sys_clock_gettime, mm : 7 pages
time per syscall : 15460     , total time : 61840     , total cnt : 4         , syscall name : sys_clock_getres, mm : 0 pages
time per syscall : 95891697  , total time : 21575631840, total cnt : 225       , syscall name : sys_clock_nanosleep, mm : -3591 pages
time per syscall : 6880      , total time : 13760     , total cnt : 2         , syscall name : sys_syslog, mm : 0 pages
time per syscall : 456       , total time : 20080     , total cnt : 44        , syscall name : sys_sched_setscheduler, mm : 0 pages
time per syscall : 1480      , total time : 5920      , total cnt : 4         , syscall name : sys_sched_getscheduler, mm : 0 pages
time per syscall : 1280      , total time : 5120      , total cnt : 4         , syscall name : sys_sched_getparam, mm : 0 pages
